ItemID,year,WeekIdentifier,SalesChannel,Territory,NewBasePrice,TotalInventory,StoreInventory,WarehouseInventory,StockedStorePercentage,SellingStoresRatio,InboundInventory,SalesQuantity,ProjectedInventory
PGK-GsQ43,2018,4,Stores,YXX,20.080000000000005,4,2,2,0.0177,0.059,0,3,0
MnZd75s34,2018,4,E-commerce,AXX,13.751999999999999,8,3,5,0.0419,0.0359,0,1,0
3ISiz2Q52,2018,4,E-commerce,AXX,24.283,4,1,3,0.0659,0.0819,0,3,0
3ISiz2Q52,2018,4,Stores,AXX,24.283,19,5,14,0.1675,0.0158,0,8,0
PGK-GsQ43,2018,4,E-commerce,AXX,20.080000000000005,9,4,5,0.0469,0.0439,0,5,0
D_jD1ac10,2018,4,Stores,AXX,15.892,99,53,46,0.64025,0.1759,0,49,0
h2jKDfY64,2018,4,Stores,YXX,19.287999999999997,6,1,5,0.06,0.0559,0,6,0
Z169KsU12,2018,4,Stores,AXX,21.592,3,3,0,0.064,0.024900000000000002,0,2,0
b9VLpvA17,2018,4,E-commerce,AXX,22.113,9,1,8,0.0959,0.020900000000000002,0,6,0
mGOdPGw17,2018,4,E-commerce,AXX,14.532,6,0,6,0.0849,0.061900000000000004,0,3,0
b9VLpvA17,2018,4,Stores,AXX,22.113,9,3,6,0.053500000000000006,0.1029,0,6,0
vXCZxAE61,2018,4,E-commerce,AXX,16.423,9,3,6,0.0849,0.0849,0,2,0
UVHzi7g60,2018,4,Stores,AXX,18.703000000000003,130,75,55,0.9882,0.9265,8,355,0
apMQgk887,2018,4,Stores,AXX,21.082,10,3,7,0.12000000000000001,0.0655,0,5,0
2kYhNMY10,2018,4,Stores,YXX,20.270000000000003,9,7,2,0.1964,0.0613,0,8,0
U6Od7aY76,2018,4,Stores,YXX,24.478,8,4,4,0.1002,0.0918,0,8,0
O4Iu-sI69,2018,4,Stores,YXX,18.503,14,12,2,0.1983,0.1383,0,16,0
aaW5Dc896,2018,4,E-commerce,AXX,23.204,12,2,10,0.0179,0.0749,0,2,0
O4Iu-sI69,2018,4,Stores,AXX,18.503,371,108,263,0.83895,0.5522,83,151,0
14X5b_464,2018,4,Stores,AXX,15.783,7,3,4,0.1618,0.0665,0,6,0
Zf0fH0U72,2018,4,E-commerce,AXX,24.213,12,0,12,0.0089,0.0599,0,9,0
Zf0fH0U72,2018,4,Stores,AXX,24.213,5,3,2,0.02,0.0689,0,4,0
g8_qmSM87,2018,4,Stores,YXX,21.593000000000004,12,10,2,0.21089999999999998,0.0078,0,8,0
U8aZiCo48,2018,4,Stores,AXX,17.421999999999997,35,4,31,0.3381,0.123,7,10,17
M_aLOns54,2018,4,Stores,AXX,22.762999999999998,36,5,31,0.2752,0.024900000000000002,24,4,0
-R40flg54,2018,4,E-commerce,AXX,26.583000000000002,8,1,7,0.0769,0.0159,0,9,0
OZNKPWg14,2018,4,E-commerce,AXX,20.921999999999997,5,3,2,0.0039,0.0709,0,2,0
-R40flg54,2018,4,Stores,YXX,26.583000000000002,6,4,2,0.053099999999999994,0.0187,0,4,0
gzLOBgg40,2018,4,Stores,YXX,13.927,8,3,5,0.12210000000000001,0.0877,0,6,0
wJ1DGVE67,2018,4,E-commerce,AXX,13.902000000000001,5,4,1,0.0849,0.1019,0,6,0
sB1o9-c20,2018,4,E-commerce,AXX,25.413,6,2,4,0.0979,0.0579,0,1,0
JN1uWyg84,2018,4,E-commerce,AXX,13.471999999999998,11,1,10,0.0719,0.0859,0,4,0
Ehk6A6Y17,2018,4,Stores,AXX,16.383,20,11,9,0.36429999999999996,0.1162,0,6,0
dQRrOcs21,2018,4,E-commerce,AXX,14.803,12,2,10,0.0689,0.0789,0,2,0
CCuyJXo47,2018,4,E-commerce,AXX,13.289,11,1,10,0.0069,0.0809,0,5,0
CCuyJXo47,2018,4,Stores,YXX,13.289,4,2,2,0.1308,0.07050000000000001,0,7,0
CCuyJXo47,2018,4,Stores,AXX,13.289,210,47,163,0.67895,0.4508,46,83,0
U6Od7aY76,2018,4,E-commerce,AXX,24.478,7,2,5,0.0309,0.0749,0,9,0
dOGInVo14,2018,4,Stores,AXX,19.603,4,4,0,0.097,0.0759,0,5,0
9TvhYgg41,2018,4,Stores,YXX,22.763999999999996,11,7,4,0.094,0.0954,0,9,0
-5Wye2w71,2018,4,E-commerce,AXX,18.563,7,1,6,0.0459,0.0659,0,4,0
-Cj2BYY23,2018,4,E-commerce,AXX,17.587999999999997,5,3,2,0.009899999999999999,0.0729,0,4,0
FWsr2ZE11,2018,4,Stores,AXX,15.903,9,2,7,0.1801,0.0998,0,6,0
rHDFINE51,2018,4,E-commerce,AXX,21.972,8,1,7,0.0869,0.0499,0,3,0
